"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 18:18:00 GMT 2023","Fri Jul 21 18:18:01 GMT 2023","226","","Validar o endpoint account/{account_id}/lists","","Validar o endpoint account/{account_id}/lists","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 21 18:18:16 GMT 2023","Fri Jul 21 18:18:16 GMT 2023","167","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme que não está contido na lista","Validar erro ao remover um filme que não está contido na lista",""
"passed","Fri Jul 21 18:18:16 GMT 2023","Fri Jul 21 18:18:16 GMT 2023","177","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme sem estar com o token de autorização","Validar erro ao remover um filme sem estar com o token de autorização",""
"passed","Fri Jul 21 18:18:13 GMT 2023","Fri Jul 21 18:18:14 GMT 2023","210","","Validar o endpoint /list/{list_id}","","Validar o endpoint /list/{list_id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 21 18:18:03 GMT 2023","Fri Jul 21 18:18:03 GMT 2023","153","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar adição de filme na lista com sucesso","Validar adição de filme na lista com sucesso",""
"passed","Fri Jul 21 18:18:03 GMT 2023","Fri Jul 21 18:18:03 GMT 2023","96","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar filme inválido","Validar erro ao adicionar filme inválido",""
"broken","Fri Jul 21 18:18:11 GMT 2023","Fri Jul 21 18:18:11 GMT 2023","0","","Validar o enpoint DELETE /list/{list_id}","","Validar o enpoint DELETE /list/{list_id}","""before all"" hook for ""Validar exclusão de uma lista com sucesso""","""before all"" hook for ""Validar exclusão de uma lista com sucesso""",""
"passed","Fri Jul 21 18:18:03 GMT 2023","Fri Jul 21 18:18:03 GMT 2023","110","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar o filme sem estar autorizado","Validar erro ao adicionar o filme sem estar autorizado",""
"passed","Fri Jul 21 18:18:05 GMT 2023","Fri Jul 21 18:18:06 GMT 2023","185","","Validar o endpoint POST /list/{list_id}/clear","","Validar o endpoint POST /list/{list_id}/clear","Validar limpar a lista com sucesso","Validar limpar a lista com sucesso",""
"passed","Fri Jul 21 18:18:08 GMT 2023","Fri Jul 21 18:18:08 GMT 2023","160","","Validar o enpoint POST /list","","Validar o enpoint POST /list","Validar criação de uma lista com sucesso","Validar criação de uma lista com sucesso",""
"passed","Fri Jul 21 18:18:03 GMT 2023","Fri Jul 21 18:18:03 GMT 2023","160","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao tentar adicionar o mesmo filme mais de uma vez","Validar erro ao tentar adicionar o mesmo filme mais de uma vez",""
"passed","Fri Jul 21 18:18:16 GMT 2023","Fri Jul 21 18:18:16 GMT 2023","162","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar remoção de filme da lista com sucesso","Validar remoção de filme da lista com sucesso",""
