"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 17:35:07 GMT 2023","Fri Jul 21 17:35:08 GMT 2023","541","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao tentar adicionar o mesmo filme mais de uma vez","Validar erro ao tentar adicionar o mesmo filme mais de uma vez",""
"broken","Fri Jul 21 17:35:17 GMT 2023","Fri Jul 21 17:35:17 GMT 2023","0","","Validar o enpoint DELETE /list/{list_id}","","Validar o enpoint DELETE /list/{list_id}","""before all"" hook for ""Validar exclusão de uma lista com sucesso""","""before all"" hook for ""Validar exclusão de uma lista com sucesso""",""
"passed","Fri Jul 21 17:35:23 GMT 2023","Fri Jul 21 17:35:23 GMT 2023","364","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme que não está contido na lista","Validar erro ao remover um filme que não está contido na lista",""
"passed","Fri Jul 21 17:35:04 GMT 2023","Fri Jul 21 17:35:04 GMT 2023","365","","Validar o endpoint account/{account_id}/lists","","Validar o endpoint account/{account_id}/lists","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 21 17:35:11 GMT 2023","Fri Jul 21 17:35:11 GMT 2023","441","","Validar o endpoint POST /list/{list_id}/clear","","Validar o endpoint POST /list/{list_id}/clear","Validar limpar a lista com sucesso","Validar limpar a lista com sucesso",""
"passed","Fri Jul 21 17:35:07 GMT 2023","Fri Jul 21 17:35:07 GMT 2023","422","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar adição de filme na lista com sucesso","Validar adição de filme na lista com sucesso",""
"broken","Fri Jul 21 17:35:14 GMT 2023","Fri Jul 21 17:35:14 GMT 2023","482","","Validar o enpoint POST /list","","Validar o enpoint POST /list","Validar criação de uma lista com sucesso","Validar criação de uma lista com sucesso",""
"passed","Fri Jul 21 17:35:20 GMT 2023","Fri Jul 21 17:35:20 GMT 2023","387","","Validar o endpoint /list/{list_id}","","Validar o endpoint /list/{list_id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 21 17:35:08 GMT 2023","Fri Jul 21 17:35:08 GMT 2023","356","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar o filme sem estar autorizado","Validar erro ao adicionar o filme sem estar autorizado",""
"passed","Fri Jul 21 17:35:23 GMT 2023","Fri Jul 21 17:35:24 GMT 2023","393","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme sem estar com o token de autorização","Validar erro ao remover um filme sem estar com o token de autorização",""
"passed","Fri Jul 21 17:35:22 GMT 2023","Fri Jul 21 17:35:23 GMT 2023","523","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar remoção de filme da lista com sucesso","Validar remoção de filme da lista com sucesso",""
"passed","Fri Jul 21 17:35:08 GMT 2023","Fri Jul 21 17:35:08 GMT 2023","301","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar filme inválido","Validar erro ao adicionar filme inválido",""
