"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 26 19:36:24 GMT 2023","Wed Jul 26 19:36:25 GMT 2023","331","","Validar o enpoint DELETE /list/{list_id}","","Validar o enpoint DELETE /list/{list_id}","Validar exclusão de uma lista com sucesso","Validar exclusão de uma lista com sucesso",""
"passed","Wed Jul 26 19:36:27 GMT 2023","Wed Jul 26 19:36:27 GMT 2023","515","","Validar o endpoint /list/{list_id}","","Validar o endpoint /list/{list_id}","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 26 19:36:16 GMT 2023","Wed Jul 26 19:36:16 GMT 2023","278","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao tentar adicionar o mesmo filme mais de uma vez","Validar erro ao tentar adicionar o mesmo filme mais de uma vez",""
"passed","Wed Jul 26 19:36:29 GMT 2023","Wed Jul 26 19:36:30 GMT 2023","302","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar remoção de filme da lista com sucesso","Validar remoção de filme da lista com sucesso",""
"passed","Wed Jul 26 19:36:21 GMT 2023","Wed Jul 26 19:36:22 GMT 2023","238","","Validar o enpoint POST /list","","Validar o enpoint POST /list","Validar criação de uma lista com sucesso","Validar criação de uma lista com sucesso",""
"passed","Wed Jul 26 19:36:14 GMT 2023","Wed Jul 26 19:36:14 GMT 2023","271","","Validar o endpoint account/{account_id}/lists","","Validar o endpoint account/{account_id}/lists","Validar o método GET","Validar o método GET",""
"passed","Wed Jul 26 19:36:30 GMT 2023","Wed Jul 26 19:36:30 GMT 2023","238","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme sem estar com o token de autorização","Validar erro ao remover um filme sem estar com o token de autorização",""
"passed","Wed Jul 26 19:36:16 GMT 2023","Wed Jul 26 19:36:16 GMT 2023","240","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar adição de filme na lista com sucesso","Validar adição de filme na lista com sucesso",""
"passed","Wed Jul 26 19:36:16 GMT 2023","Wed Jul 26 19:36:17 GMT 2023","162","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar o filme sem estar autorizado","Validar erro ao adicionar o filme sem estar autorizado",""
"passed","Wed Jul 26 19:36:30 GMT 2023","Wed Jul 26 19:36:30 GMT 2023","216","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme que não está contido na lista","Validar erro ao remover um filme que não está contido na lista",""
"passed","Wed Jul 26 19:36:17 GMT 2023","Wed Jul 26 19:36:17 GMT 2023","213","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar filme inválido","Validar erro ao adicionar filme inválido",""
"passed","Wed Jul 26 19:36:19 GMT 2023","Wed Jul 26 19:36:19 GMT 2023","217","","Validar o endpoint POST /list/{list_id}/clear","","Validar o endpoint POST /list/{list_id}/clear","Validar limpar a lista com sucesso","Validar limpar a lista com sucesso",""
